Unnamed: 0,1 CONTRA LAS PERSONAS,11-Homicidios dolosos/asesinatos,111-Homicidios dolosos/asesinatos consumados,12-Lesiones,13-Malos tratos ámbito familiar,14-Otros contra las personas,2 CONTRA LA LIBERTAD,21-Malos tratos habituales en el ámbito familiar,22-Otros contra la libertad,3 LIBERTAD SEXUAL,31-Agresión sexual,32-Agresión sexual con penetración,33-Corrupción de menores o incapacitados,34-Pornografía de menores,35-Otros contra la libertad sexual,4 RELACIONES FAMILIARES,5 PATRIMONIO,51-Hurtos,52-Robos con fuerza en las cosas,521-Robos con fuerza en las cosas en el interior de vehículos,522-Robos con fuerza en viviendas,523-Robos con fuerza en establecimientos,53-Robos con violencia o intimidación,531-Robos con violencia en vía pública,532-Robos con violencia en viviendas,533-Robos con violencia en establecimientos,54-Sustracción de vehículos,55-Estafas,551-Estafas informáticas,56-Daños,57-Contra la propiedad intelectual/industrial,58-Blanqueo de capitales,59-Otros contra el patrimonio,6 SEGURIDAD COLECTIVA,61-Tráfico de drogas,62-Contra la seguridad vial,63-Otros contra la seguridad colectiva,7 FALSEDADES,8 ADMÓN PÚBLICA,9 ADMÓN JUSTICIA,10 ORDEN PÚBLICO,11 LEGISLACIÓN ESPECIAL,12 OTRAS INFRACCIONES PENALES,TOTAL INFRACCIONES PENALES,Unnamed: 45,Year
    TOTAL NACIONAL,177165.0,1088.0,289.0,99928.0,72309.0,3840.0,120919.0,14196.0,106723.0,13782.0,7983.0,2744.0,268.0,892.0,1895.0,7630.0,1664242.0,706072.0,302043.0,102474.0,107166.0,33129.0,60295.0,24681.0,3233.0,5355.0,35897.0,289259.0,136656.0,213815.0,2205.0,272.0,54384.0,64126.0,14133.0,47648.0,2345.0,22399.0,510.0,30290.0,20121.0,209.0,9725.0,2131118.0,,2018.0
    ANDALUCÍA,35043.0,262.0,72.0,19547.0,14441.0,793.0,24513.0,2671.0,21842.0,2339.0,1428.0,314.0,63.0,154.0,380.0,1529.0,240939.0,93459.0,50084.0,18696.0,15779.0,7192.0,7093.0,4592.0,571.0,1128.0,6872.0,37843.0,15081.0,34236.0,564.0,82.0,10706.0,13862.0,3663.0,9767.0,432.0,3740.0,123.0,6464.0,3889.0,129.0,2271.0,334841.0,,2018.0
    ARAGÓN,4474.0,17.0,9.0,2249.0,2093.0,115.0,2233.0,273.0,1960.0,346.0,206.0,53.0,11.0,26.0,50.0,177.0,29952.0,10710.0,5200.0,1268.0,1751.0,709.0,919.0,630.0,48.0,149.0,279.0,6751.0,3131.0,4804.0,19.0,2.0,1268.0,1244.0,336.0,857.0,51.0,433.0,9.0,710.0,526.0,2.0,261.0,40367.0,,2018.0
    ASTURIAS (PRINCIPADO DE),3159.0,18.0,7.0,1844.0,1246.0,51.0,1751.0,112.0,1639.0,207.0,122.0,27.0,11.0,11.0,36.0,104.0,18807.0,7223.0,2359.0,466.0,871.0,594.0,355.0,207.0,35.0,76.0,211.0,4817.0,2371.0,2994.0,37.0,4.0,807.0,1051.0,140.0,865.0,46.0,185.0,3.0,557.0,376.0,0.0,233.0,26433.0,,2018.0
    BALEARS (ILLES),7545.0,44.0,8.0,3806.0,3558.0,137.0,4373.0,509.0,3864.0,584.0,371.0,108.0,16.0,17.0,72.0,168.0,55800.0,27629.0,7967.0,2455.0,3067.0,1030.0,1230.0,771.0,89.0,157.0,1432.0,9821.0,5491.0,5479.0,109.0,5.0,2128.0,2676.0,514.0,1997.0,165.0,639.0,6.0,963.0,599.0,2.0,306.0,73661.0,,2018.0
    CANARIAS,11805.0,66.0,25.0,6629.0,4775.0,335.0,8955.0,713.0,8242.0,750.0,462.0,149.0,8.0,52.0,79.0,754.0,61599.0,27229.0,11598.0,4250.0,3229.0,1739.0,1490.0,870.0,124.0,288.0,1354.0,9983.0,3097.0,7217.0,112.0,14.0,2602.0,3296.0,620.0,2590.0,86.0,754.0,13.0,1485.0,855.0,0.0,383.0,90649.0,,2018.0
    CANTABRIA,2110.0,5.0,2.0,1424.0,599.0,82.0,1366.0,121.0,1245.0,102.0,60.0,15.0,1.0,8.0,18.0,43.0,12552.0,4669.0,2559.0,519.0,979.0,581.0,177.0,88.0,16.0,40.0,123.0,2241.0,1704.0,2052.0,19.0,2.0,710.0,748.0,87.0,644.0,17.0,124.0,0.0,318.0,166.0,2.0,143.0,17674.0,,2018.0
    CASTILLA Y LEÓN,7213.0,34.0,11.0,4594.0,2376.0,209.0,5270.0,539.0,4731.0,439.0,246.0,79.0,10.0,44.0,60.0,180.0,55843.0,19715.0,9513.0,1650.0,3569.0,1701.0,708.0,388.0,96.0,141.0,572.0,13157.0,6511.0,10388.0,80.0,9.0,1701.0,2709.0,408.0,2192.0,109.0,811.0,17.0,1097.0,700.0,0.0,584.0,74863.0,,2018.0
    CASTILLA - LA MANCHA,6828.0,37.0,8.0,3822.0,2858.0,111.0,4566.0,590.0,3976.0,489.0,287.0,77.0,17.0,34.0,74.0,298.0,49886.0,14490.0,13287.0,2917.0,5509.0,1804.0,968.0,570.0,98.0,150.0,668.0,9482.0,4789.0,8469.0,86.0,8.0,2428.0,2798.0,439.0,2287.0,72.0,1061.0,37.0,1152.0,702.0,9.0,506.0,68332.0,,2018.0
    CATALUÑA,20684.0,213.0,45.0,13726.0,6358.0,387.0,18562.0,1730.0,16832.0,2598.0,1277.0,821.0,6.0,225.0,269.0,1216.0,409295.0,192054.0,71069.0,27340.0,25792.0,9.0,22506.0,69.0,387.0,8.0,9193.0,62522.0,36808.0,40176.0,346.0,23.0,11406.0,8724.0,2452.0,6130.0,142.0,3456.0,52.0,3464.0,2775.0,17.0,667.0,471510.0,,2018.0
    COMUNITAT VALENCIANA,22039.0,118.0,25.0,11366.0,10209.0,346.0,12488.0,1670.0,10818.0,1580.0,988.0,252.0,35.0,87.0,218.0,890.0,175524.0,70169.0,36312.0,9906.0,17440.0,4222.0,5065.0,2976.0,442.0,818.0,3282.0,27937.0,11283.0,26842.0,285.0,55.0,5577.0,7805.0,1759.0,5741.0,305.0,3206.0,79.0,4361.0,2577.0,13.0,1065.0,231627.0,,2018.0
    EXTREMADURA,3097.0,17.0,4.0,1955.0,1050.0,75.0,2198.0,208.0,1990.0,209.0,131.0,33.0,5.0,11.0,29.0,209.0,18333.0,6616.0,3747.0,685.0,1178.0,818.0,252.0,138.0,27.0,57.0,160.0,3454.0,1879.0,3225.0,63.0,1.0,815.0,1138.0,233.0,834.0,71.0,445.0,10.0,602.0,246.0,17.0,309.0,26813.0,,2018.0
    GALICIA,8039.0,33.0,8.0,4876.0,2939.0,191.0,5819.0,631.0,5188.0,536.0,341.0,88.0,4.0,36.0,67.0,190.0,55664.0,19903.0,9990.0,2945.0,3395.0,1933.0,951.0,497.0,119.0,212.0,584.0,12961.0,6836.0,9413.0,117.0,13.0,1732.0,4806.0,433.0,4246.0,127.0,803.0,16.0,1266.0,795.0,1.0,591.0,78526.0,,2018.0
    MADRID (COMUNIDAD DE),27360.0,114.0,36.0,13078.0,13753.0,415.0,14497.0,1038.0,13459.0,2014.0,1172.0,408.0,45.0,99.0,290.0,862.0,325802.0,152704.0,49133.0,24583.0,12781.0,6282.0,14268.0,9938.0,881.0,1572.0,8620.0,51869.0,16509.0,40852.0,234.0,32.0,8090.0,6607.0,1955.0,4278.0,374.0,3445.0,87.0,4464.0,3754.0,10.0,1012.0,389914.0,,2018.0
