year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2019,13,42.5751,-8.1339,2699499.0,4_family_relationships,171.0,0,0,0,1,0,0,0,0,0,-0.45159715260357536
2019,14,40.4168,-3.7038,6663394.0,4_family_relationships,822.0,0,0,0,1,0,0,0,0,0,-0.4271966949291092
2019,15,37.9922,-1.1307,1493898.0,4_family_relationships,552.0,0,0,0,1,0,0,0,0,0,-0.43835044666947176
2019,16,42.6954,-1.6761,654214.0,4_family_relationships,74.0,0,0,0,1,0,0,0,0,0,-0.45674769242994273
2019,17,43.263,-2.9349,2207776.0,4_family_relationships,139.0,0,0,0,1,0,0,0,0,0,-0.45268981952488835
2019,18,42.2871,-2.5396,316798.0,4_family_relationships,31.0,0,0,0,1,0,0,0,0,0,-0.45923216622538826
2019,9,35.8894,-5.3198,84777.0,4_family_relationships,31.0,0,0,0,1,0,0,0,0,0,-0.4587623816257376
2019,10,35.293,-2.9387,86487.0,4_family_relationships,25.0,0,0,0,1,0,0,0,0,0,-0.45903811088077606
2019,0,37.3873,-5.9869,8414240.0,5_property_crimes,239711.0,0,0,0,0,1,0,0,0,0,8.857875032804154
2019,1,41.6488,-0.8891,1319291.0,5_property_crimes,31651.0,0,0,0,0,1,0,0,0,0,0.6588089625951484
2019,2,43.3619,-5.8494,1022800.0,5_property_crimes,19066.0,0,0,0,0,1,0,0,0,0,0.24693792208617873
2019,3,39.5712,2.6466,1149460.0,5_property_crimes,58274.0,0,0,0,0,1,0,0,0,0,1.626143659372253
2019,5,28.2916,-16.6291,2153389.0,5_property_crimes,64716.0,0,0,0,0,1,0,0,0,0,1.9214331649504823
2019,4,43.1828,-3.9878,581078.0,5_property_crimes,12953.0,0,0,0,0,1,0,0,0,0,0.02113697236028976
2019,7,41.6523,-4.7245,2399548.0,5_property_crimes,56640.0,0,0,0,0,1,0,0,0,0,1.636970682732883
2019,6,39.8628,-4.0273,2032863.0,5_property_crimes,50473.0,0,0,0,0,1,0,0,0,0,1.372877753193006
2019,8,41.3851,2.1734,7675217.0,5_property_crimes,425113.0,0,0,0,0,1,0,0,0,0,13.81439794228219
2019,11,39.4699,-0.3763,5003769.0,5_property_crimes,174091.0,0,0,0,0,1,0,0,0,0,6.295471907318807
2019,12,39.4765,-6.3722,1067710.0,5_property_crimes,18583.0,0,0,0,0,1,0,0,0,0,0.2411959639455282
2019,13,42.5751,-8.1339,2699499.0,5_property_crimes,56924.0,0,0,0,0,1,0,0,0,0,1.5936851216981065
2019,14,40.4168,-3.7038,6663394.0,5_property_crimes,337836.0,0,0,0,0,1,0,0,0,0,11.845731182390145
2019,15,37.9922,-1.1307,1493898.0,5_property_crimes,41700.0,0,0,0,0,1,0,0,0,0,1.0464922525645015
2019,16,42.6954,-1.6761,654214.0,5_property_crimes,21485.0,0,0,0,0,1,0,0,0,0,0.2737676307878267
2019,17,43.263,-2.9349,2207776.0,5_property_crimes,71978.0,0,0,0,0,1,0,0,0,0,2.0292699513984913
2019,18,42.2871,-2.5396,316798.0,5_property_crimes,6179.0,0,0,0,0,1,0,0,0,0,-0.23774587279573764
2019,9,35.8894,-5.3198,84777.0,5_property_crimes,2159.0,0,0,0,0,1,0,0,0,0,-0.37356707336249007
2019,10,35.293,-2.9387,86487.0,5_property_crimes,3281.0,0,0,0,0,1,0,0,0,0,-0.34340368027425655
2019,0,37.3873,-5.9869,8414240.0,6_collective_security,15094.0,0,0,0,0,0,1,0,0,0,0.04975291466893009
2019,1,41.6488,-0.8891,1319291.0,6_collective_security,1360.0,0,0,0,0,0,1,0,0,0,-0.416788732450312
2019,2,43.3619,-5.8494,1022800.0,6_collective_security,1205.0,0,0,0,0,0,1,0,0,0,-0.4188184931884982
2019,3,39.5712,2.6466,1149460.0,6_collective_security,2880.0,0,0,0,0,0,1,0,0,0,-0.3634736103051126
2019,5,28.2916,-16.6291,2153389.0,6_collective_security,3439.0,0,0,0,0,0,1,0,0,0,-0.33687737012716634
2019,4,43.1828,-3.9878,581078.0,6_collective_security,716.0,0,0,0,0,0,1,0,0,0,-0.4321343738558305
2019,7,41.6523,-4.7245,2399548.0,6_collective_security,2911.0,0,0,0,0,0,1,0,0,0,-0.3628889486339929
2019,6,39.8628,-4.0273,2032863.0,6_collective_security,3224.0,0,0,0,0,0,1,0,0,0,-0.3574118722909284
2019,8,41.3851,2.1734,7675217.0,6_collective_security,8938.0,0,0,0,0,0,1,0,0,0,-0.13807707289738394
2019,11,39.4699,-0.3763,5003769.0,6_collective_security,7739.0,0,0,0,0,0,1,0,0,0,-0.17103709631828265
2019,12,39.4765,-6.3722,1067710.0,6_collective_security,1248.0,0,0,0,0,0,1,0,0,0,-0.42145019015660956
2019,13,42.5751,-8.1339,2699499.0,6_collective_security,4992.0,0,0,0,0,0,1,0,0,0,-0.2881217852469363
2019,14,40.4168,-3.7038,6663394.0,6_collective_security,7696.0,0,0,0,0,0,1,0,0,0,-0.22501581655755903
2019,15,37.9922,-1.1307,1493898.0,6_collective_security,1664.0,0,0,0,0,0,1,0,0,0,-0.40686789222796416
2019,16,42.6954,-1.6761,654214.0,6_collective_security,1583.0,0,0,0,0,0,1,0,0,0,-0.41851672558308395
2019,17,43.263,-2.9349,2207776.0,6_collective_security,2773.0,0,0,0,0,0,1,0,0,0,-0.36503648365129904
2019,18,42.2871,-2.5396,316798.0,6_collective_security,413.0,0,0,0,0,0,1,0,0,0,-0.4473417740788393
2019,9,35.8894,-5.3198,84777.0,6_collective_security,509.0,0,0,0,0,0,1,0,0,0,-0.443713065952965
2019,10,35.293,-2.9387,86487.0,6_collective_security,348.0,0,0,0,0,0,1,0,0,0,-0.45048103039839466
2019,0,37.3873,-5.9869,8414240.0,7_forgeries,3988.0,0,0,0,0,0,0,1,0,0,-0.3197714408116548
2019,1,41.6488,-0.8891,1319291.0,7_forgeries,446.0,0,0,0,0,0,0,1,0,0,-0.44572798622725496
2019,2,43.3619,-5.8494,1022800.0,7_forgeries,220.0,0,0,0,0,0,0,1,0,0,-0.45279675171615436
2019,3,39.5712,2.6466,1149460.0,7_forgeries,716.0,0,0,0,0,0,0,1,0,0,-0.4396782376157157
2019,5,28.2916,-16.6291,2153389.0,7_forgeries,1114.0,0,0,0,0,0,0,1,0,0,-0.4309529609465644
2019,4,43.1828,-3.9878,581078.0,7_forgeries,162.0,0,0,0,0,0,0,1,0,0,-0.4552186934777884
2019,7,41.6523,-4.7245,2399548.0,7_forgeries,840.0,0,0,0,0,0,0,1,0,0,-0.4315486570078853
2019,6,39.8628,-4.0273,2032863.0,7_forgeries,1177.0,0,0,0,0,0,0,1,0,0,-0.4236879665397633
2019,8,41.3851,2.1734,7675217.0,7_forgeries,3791.0,0,0,0,0,0,0,1,0,0,-0.32844376664158204
2019,11,39.4699,-0.3763,5003769.0,7_forgeries,3250.0,0,0,0,0,0,0,1,0,0,-0.34887997188092645
2019,12,39.4765,-6.3722,1067710.0,7_forgeries,445.0,0,0,0,0,0,0,1,0,0,-0.4451480301675445
2019,13,42.5751,-8.1339,2699499.0,7_forgeries,886.0,0,0,0,0,0,0,1,0,0,-0.4323737784434505
2019,14,40.4168,-3.7038,6663394.0,7_forgeries,4042.0,0,0,0,0,0,0,1,0,0,-0.3367404910797018
2019,15,37.9922,-1.1307,1493898.0,7_forgeries,708.0,0,0,0,0,0,0,1,0,0,-0.43853894101070656
2019,16,42.6954,-1.6761,654214.0,7_forgeries,374.0,0,0,0,0,0,0,1,0,0,-0.4455286601295164
2019,17,43.263,-2.9349,2207776.0,7_forgeries,1195.0,0,0,0,0,0,0,1,0,0,-0.42236451436751987
2019,18,42.2871,-2.5396,316798.0,7_forgeries,73.0,0,0,0,0,0,0,1,0,0,-0.457704625875634
2019,9,35.8894,-5.3198,84777.0,7_forgeries,543.0,0,0,0,0,0,0,1,0,0,-0.44172182882223393
2019,10,35.293,-2.9387,86487.0,7_forgeries,289.0,0,0,0,0,0,0,1,0,0,-0.45639771140576246
2019,0,37.3873,-5.9869,8414240.0,8_public_administration,93.0,0,0,0,0,0,0,0,1,0,-0.4544500816934767
2019,1,41.6488,-0.8891,1319291.0,8_public_administration,3.0,0,0,0,0,0,0,0,1,0,-0.45973250270499444
2019,2,43.3619,-5.8494,1022800.0,8_public_administration,6.0,0,0,0,0,0,0,0,1,0,-0.45996499092926885
2019,3,39.5712,2.6466,1149460.0,8_public_administration,11.0,0,0,0,0,0,0,0,1,0,-0.4593748747207011
2019,5,28.2916,-16.6291,2153389.0,8_public_administration,17.0,0,0,0,0,0,0,0,1,0,-0.4578006239580322
2019,4,43.1828,-3.9878,581078.0,8_public_administration,3.0,0,0,0,0,0,0,0,1,0,-0.4599751403017419
2019,7,41.6523,-4.7245,2399548.0,8_public_administration,14.0,0,0,0,0,0,0,0,1,0,-0.4593908615389433
2019,6,39.8628,-4.0273,2032863.0,8_public_administration,29.0,0,0,0,0,0,0,0,1,0,-0.4586178102542636
2019,8,41.3851,2.1734,7675217.0,8_public_administration,58.0,0,0,0,0,0,0,0,1,0,-0.4574932819770279
2019,11,39.4699,-0.3763,5003769.0,8_public_administration,48.0,0,0,0,0,0,0,0,1,0,-0.45750408321770347
2019,12,39.4765,-6.3722,1067710.0,8_public_administration,8.0,0,0,0,0,0,0,0,1,0,-0.4597191594276242
2019,13,42.5751,-8.1339,2699499.0,8_public_administration,21.0,0,0,0,0,0,0,0,1,0,-0.45938505216331454
2019,14,40.4168,-3.7038,6663394.0,8_public_administration,55.0,0,0,0,0,0,0,0,1,0,-0.45745413534932033
2019,15,37.9922,-1.1307,1493898.0,8_public_administration,14.0,0,0,0,0,0,0,0,1,0,-0.45941493262295224
2019,16,42.6954,-1.6761,654214.0,8_public_administration,10.0,0,0,0,0,0,0,0,1,0,-0.4593769744149195
2019,17,43.263,-2.9349,2207776.0,8_public_administration,12.0,0,0,0,0,0,0,0,1,0,-0.45930167753790335
2019,18,42.2871,-2.5396,316798.0,8_public_administration,5.0,0,0,0,0,0,0,0,1,0,-0.45993719938746513
