year,region,latitude,longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2014,2,43.3619,-5.8494,1061756.0,5429,1,0,0,0,0,0,0,0,0,-0.2429871169044438
2014,3,39.5712,2.6466,1103442.0,9299,1,0,0,0,0,0,0,0,0,-0.1141184795455015
2014,5,28.2916,-16.6291,2104815.0,19560,1,0,0,0,0,0,0,0,0,0.3068070007388324
2014,4,43.1828,-3.9878,588656.0,3312,1,0,0,0,0,0,0,0,0,-0.3373904893999916
2014,7,41.6523,-4.7245,2494790.0,13110,1,0,0,0,0,0,0,0,0,0.06630041278490063
2014,6,39.8628,-4.0273,2078611.0,11389,1,0,0,0,0,0,0,0,0,-0.0149171908092883
2014,8,41.3851,2.1734,7518903.0,36313,1,0,0,0,0,0,0,0,0,0.9552112770175165
2014,11,39.4699,-0.3763,5004844.0,33506,1,0,0,0,0,0,0,0,0,0.827547128505737
2014,12,39.4765,-6.3722,1099632.0,5421,1,0,0,0,0,0,0,0,0,-0.2605490299552999
2014,13,42.5751,-8.1339,2748695.0,14264,1,0,0,0,0,0,0,0,0,0.09543957623418116
2014,14,40.4168,-3.7038,6454440.0,35230,1,0,0,0,0,0,0,0,0,0.9606244805576898
2014,15,37.9922,-1.1307,1466818.0,8920,1,0,0,0,0,0,0,0,0,-0.10883667177229518
2014,16,42.6954,-1.6761,640790.0,4294,1,0,0,0,0,0,0,0,0,-0.3493810605124301
2014,17,43.263,-2.9349,2188985.0,12313,1,0,0,0,0,0,0,0,0,0.010541962765039409
2014,18,42.2871,-2.5396,319002.0,1527,1,0,0,0,0,0,0,0,0,-0.40747276303233204
2014,9,35.8894,-5.3198,84963.0,736,1,0,0,0,0,0,0,0,0,-0.43785959034298866
2014,10,35.293,-2.9387,84509.0,1057,1,0,0,0,0,0,0,0,0,-0.4330489813637967
2013,0,37.3873,-5.9869,8440300.0,56840,1,0,0,0,0,0,0,0,0,1.94095741171159
2013,1,41.6488,-0.8891,1347150.0,6330,1,0,0,0,0,0,0,0,0,-0.2168520677584827
2013,2,43.3619,-5.8494,1068165.0,5617,1,0,0,0,0,0,0,0,0,-0.23582993094813068
2013,3,39.5712,2.6466,1111674.0,9030,1,0,0,0,0,0,0,0,0,-0.11514983453602184
2013,5,28.2916,-16.6291,2118679.0,19224,1,0,0,0,0,0,0,0,0,0.33316398277501896
2013,4,43.1828,-3.9878,591888.0,3180,1,0,0,0,0,0,0,0,0,-0.3324051323570444
2013,7,41.6523,-4.7245,2519875.0,13015,1,0,0,0,0,0,0,0,0,0.08225331978838168
2013,6,39.8628,-4.0273,2100998.0,11134,1,0,0,0,0,0,0,0,0,0.00019660666348023518
2013,8,41.3851,2.1734,7553650.0,35622,1,0,0,0,0,0,0,0,0,0.9815346844220322
2013,11,39.4699,-0.3763,5113815.0,32380,1,0,0,0,0,0,0,0,0,0.8612614504236642
2013,12,39.4765,-6.3722,1104004.0,5210,1,0,0,0,0,0,0,0,0,-0.24970521157023393
2013,13,42.5751,-8.1339,2765940.0,14182,1,0,0,0,0,0,0,0,0,0.1011549372769264
2013,14,40.4168,-3.7038,6495551.0,35149,1,0,0,0,0,0,0,0,0,1.010706429353857
2013,15,37.9922,-1.1307,1472049.0,8457,1,0,0,0,0,0,0,0,0,-0.09039581873053264
