year,region,1_against_people,2_against_freedom,3_sexual_freedom,4_family_relationships,5_property_crimes,6_collective_security,7_forgeries,8_public_administration,9_justice_administration,Latitude,Longitude,avg_crimes,years_from_today,population
2015,17,8881,6342,411,302,62875,2392,1017,34,1479,43.263,-2.9349,4419.073170731707,9,2.189.257
2015,18,1176,327,49,34,6260,339,62,1,126,42.2871,-2.5396,438.390243902439,9,317.053
2015,9,697,182,17,42,2723,601,343,5,129,35.8894,-5.3198,240.78048780487805,9,84.263
2015,10,979,172,30,35,2955,272,91,12,80,35.293,-2.9387,245.1219512195122,9,85.584
2014,0,59774,7364,1653,1633,249797,15092,3150,215,6650,37.3873,-5.9869,18144.80487804878,10,8.402.305
2014,1,5975,909,227,210,30042,1212,306,9,808,41.6488,-0.8891,2070.5365853658536,10,1.325.385
2014,2,5429,494,125,137,19530,1320,185,0,502,43.3619,-5.8494,1438.9024390243903,10,1.061.756
2014,3,9299,1350,394,255,52211,2810,380,15,846,39.5712,2.6466,3522.1463414634145,10,1.103.442
2014,5,19560,2014,446,1153,59759,3681,552,17,1339,28.2916,-16.6291,4586.609756097561,10,2.104.815
2014,4,3312,356,74,64,11701,880,99,1,277,43.1828,-3.9878,885.7073170731708,10,588.656
2014,7,13110,1242,281,270,55997,3050,521,9,1004,41.6523,-4.7245,3930.0,10,2.494.790
2014,6,11389,1303,285,382,50648,2975,804,15,1119,39.8628,-4.0273,3668.7073170731705,10,2.078.611
2014,8,36313,10222,1877,2294,351985,7804,3368,67,3405,41.3851,2.1734,21445.780487804877,10,7.518.903
2014,11,33506,4413,1143,1056,187271,8470,2403,37,4086,39.4699,-0.3763,12953.024390243903,10,5.004.844
2014,12,5421,706,143,252,19164,1076,269,2,523,39.4765,-6.3722,1427.0731707317073,10,1.099.632
2014,13,14264,1761,377,298,53652,4801,573,38,1054,42.5751,-8.1339,4035.2195121951218,10,2.748.695
2014,14,35230,3784,1401,1241,304167,7092,3170,32,3505,40.4168,-3.7038,19192.39024390244,10,6.454.440
2014,15,8920,1169,377,573,37824,1534,469,6,884,37.9922,-1.1307,2775.756097560976,10,1.466.818
2014,16,4294,523,160,97,19231,949,294,12,261,42.6954,-1.6761,1341.8536585365853,10,640.790
2014,17,12313,4788,391,375,63332,2656,829,36,1418,43.263,-2.9349,4438.341463414634,10,2.188.985
2014,18,1527,194,40,36,6352,384,73,2,131,42.2871,-2.5396,461.219512195122,10,319.002
2014,9,736,109,10,57,2767,829,399,5,119,35.8894,-5.3198,251.6829268292683,10,84.963
2014,10,1057,82,31,34,2627,302,77,3,77,35.293,-2.9387,228.0487804878049,10,84.509
2013,0,56840,7773,1624,1559,273325,16119,3013,103,6347,37.3873,-5.9869,19403.09756097561,11,8.440.300
2013,1,6330,909,232,168,32032,1225,339,20,616,41.6488,-0.8891,2193.7804878048782,11,1.347.150
2013,2,5617,513,119,144,20834,1458,157,8,447,43.3619,-5.8494,1518.4634146341464,11,1.068.165
2013,3,9030,1327,406,274,57282,3052,405,7,798,39.5712,2.6466,3773.682926829268,11,1.111.674
2013,5,19224,2103,469,1117,62970,4159,516,12,1298,28.2916,-16.6291,4761.8536585365855,11,2.118.679
