,year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
112,2019,9,35.8894,-5.3198,84777.0,6_collective_security,509.0,0,0,0,0,0,1,0,0,0,-0.4437130659529653
113,2019,10,35.293,-2.9387,86487.0,6_collective_security,348.0,0,0,0,0,0,1,0,0,0,-0.4504810303983949
114,2019,0,37.3873,-5.9869,8414240.0,7_forgeries,3988.0,0,0,0,0,0,0,1,0,0,-0.3197714408116551
115,2019,1,41.6488,-0.8891,1319291.0,7_forgeries,446.0,0,0,0,0,0,0,1,0,0,-0.44572798622725524
116,2019,2,43.3619,-5.8494,1022800.0,7_forgeries,220.0,0,0,0,0,0,0,1,0,0,-0.45279675171615463
117,2019,3,39.5712,2.6466,1149460.0,7_forgeries,716.0,0,0,0,0,0,0,1,0,0,-0.43967823761571595
118,2019,5,28.2916,-16.6291,2153389.0,7_forgeries,1114.0,0,0,0,0,0,0,1,0,0,-0.4309529609465647
119,2019,4,43.1828,-3.9878,581078.0,7_forgeries,162.0,0,0,0,0,0,0,1,0,0,-0.45521869347778876
120,2019,7,41.6523,-4.7245,2399548.0,7_forgeries,840.0,0,0,0,0,0,0,1,0,0,-0.4315486570078856
121,2019,6,39.8628,-4.0273,2032863.0,7_forgeries,1177.0,0,0,0,0,0,0,1,0,0,-0.4236879665397636
122,2019,8,41.3851,2.1734,7675217.0,7_forgeries,3791.0,0,0,0,0,0,0,1,0,0,-0.3284437666415823
123,2019,11,39.4699,-0.3763,5003769.0,7_forgeries,3250.0,0,0,0,0,0,0,1,0,0,-0.3488799718809267
124,2019,12,39.4765,-6.3722,1067710.0,7_forgeries,445.0,0,0,0,0,0,0,1,0,0,-0.4451480301675448
125,2019,13,42.5751,-8.1339,2699499.0,7_forgeries,886.0,0,0,0,0,0,0,1,0,0,-0.4323737784434508
126,2019,14,40.4168,-3.7038,6663394.0,7_forgeries,4042.0,0,0,0,0,0,0,1,0,0,-0.336740491079702
127,2019,15,37.9922,-1.1307,1493898.0,7_forgeries,708.0,0,0,0,0,0,0,1,0,0,-0.4385389410107069
128,2019,16,42.6954,-1.6761,654214.0,7_forgeries,374.0,0,0,0,0,0,0,1,0,0,-0.44552866012951675
129,2019,17,43.263,-2.9349,2207776.0,7_forgeries,1195.0,0,0,0,0,0,0,1,0,0,-0.42236451436752026
130,2019,18,42.2871,-2.5396,316798.0,7_forgeries,73.0,0,0,0,0,0,0,1,0,0,-0.4577046258756343
131,2019,9,35.8894,-5.3198,84777.0,7_forgeries,543.0,0,0,0,0,0,0,1,0,0,-0.4417218288222342
132,2019,10,35.293,-2.9387,86487.0,7_forgeries,289.0,0,0,0,0,0,0,1,0,0,-0.4563977114057628
133,2019,0,37.3873,-5.9869,8414240.0,8_public_administration,93.0,0,0,0,0,0,0,0,1,0,-0.454450081693477
134,2019,1,41.6488,-0.8891,1319291.0,8_public_administration,3.0,0,0,0,0,0,0,0,1,0,-0.45973250270499477
135,2019,2,43.3619,-5.8494,1022800.0,8_public_administration,6.0,0,0,0,0,0,0,0,1,0,-0.4599649909292692
136,2019,3,39.5712,2.6466,1149460.0,8_public_administration,11.0,0,0,0,0,0,0,0,1,0,-0.4593748747207014
137,2019,5,28.2916,-16.6291,2153389.0,8_public_administration,17.0,0,0,0,0,0,0,0,1,0,-0.4578006239580326
138,2019,4,43.1828,-3.9878,581078.0,8_public_administration,3.0,0,0,0,0,0,0,0,1,0,-0.4599751403017422
139,2019,7,41.6523,-4.7245,2399548.0,8_public_administration,14.0,0,0,0,0,0,0,0,1,0,-0.4593908615389436
140,2019,6,39.8628,-4.0273,2032863.0,8_public_administration,29.0,0,0,0,0,0,0,0,1,0,-0.45861781025426396
141,2019,8,41.3851,2.1734,7675217.0,8_public_administration,58.0,0,0,0,0,0,0,0,1,0,-0.45749328197702815
142,2019,11,39.4699,-0.3763,5003769.0,8_public_administration,48.0,0,0,0,0,0,0,0,1,0,-0.45750408321770375
143,2019,12,39.4765,-6.3722,1067710.0,8_public_administration,8.0,0,0,0,0,0,0,0,1,0,-0.4597191594276245
144,2019,13,42.5751,-8.1339,2699499.0,8_public_administration,21.0,0,0,0,0,0,0,0,1,0,-0.4593850521633148
145,2019,14,40.4168,-3.7038,6663394.0,8_public_administration,55.0,0,0,0,0,0,0,0,1,0,-0.4574541353493207
146,2019,15,37.9922,-1.1307,1493898.0,8_public_administration,14.0,0,0,0,0,0,0,0,1,0,-0.4594149326229526
147,2019,16,42.6954,-1.6761,654214.0,8_public_administration,10.0,0,0,0,0,0,0,0,1,0,-0.4593769744149197
148,2019,17,43.263,-2.9349,2207776.0,8_public_administration,12.0,0,0,0,0,0,0,0,1,0,-0.4593016775379037
149,2019,18,42.2871,-2.5396,316798.0,8_public_administration,5.0,0,0,0,0,0,0,0,1,0,-0.45993719938746547
150,2019,9,35.8894,-5.3198,84777.0,8_public_administration,8.0,0,0,0,0,0,0,0,1,0,-0.4597474256410576
151,2019,10,35.293,-2.9387,86487.0,8_public_administration,1.0,0,0,0,0,0,0,0,1,0,-0.45996232357726946
152,2019,0,37.3873,-5.9869,8414240.0,9_justice_administration,6728.0,0,0,0,0,0,0,0,0,1,-0.22265056497950778
153,2019,1,41.6488,-0.8891,1319291.0,9_justice_administration,799.0,0,0,0,0,0,0,0,0,1,-0.4355237432752351
154,2019,2,43.3619,-5.8494,1022800.0,9_justice_administration,567.0,0,0,0,0,0,0,0,0,1,-0.43897456503306476
155,2019,3,39.5712,2.6466,1149460.0,9_justice_administration,1095.0,0,0,0,0,0,0,0,0,1,-0.42291925125062096
156,2019,5,28.2916,-16.6291,2153389.0,9_justice_administration,1721.0,0,0,0,0,0,0,0,0,1,-0.4049268956615555
157,2019,4,43.1828,-3.9878,581078.0,9_justice_administration,282.0,0,0,0,0,0,0,0,0,1,-0.44962016724629505
158,2019,7,41.6523,-4.7245,2399548.0,9_justice_administration,1186.0,0,0,0,0,0,0,0,0,1,-0.41890886638702285
159,2019,6,39.8628,-4.0273,2032863.0,9_justice_administration,1250.0,0,0,0,0,0,0,0,0,1,-0.4191214167768695
160,2019,8,41.3851,2.1734,7675217.0,9_justice_administration,3519.0,0,0,0,0,0,0,0,0,1,-0.3307614750449165
161,2019,11,39.4699,-0.3763,5003769.0,9_justice_administration,4643.0,0,0,0,0,0,0,0,0,1,-0.298664237086434
162,2019,12,39.4765,-6.3722,1067710.0,9_justice_administration,680.0,0,0,0,0,0,0,0,0,1,-0.4367586109132687
163,2019,13,42.5751,-8.1339,2699499.0,9_justice_administration,1409.0,0,0,0,0,0,0,0,0,1,-0.4145452659344973
164,2019,14,40.4168,-3.7038,6663394.0,9_justice_administration,4671.0,0,0,0,0,0,0,0,0,1,-0.2959171717889011
165,2019,15,37.9922,-1.1307,1493898.0,9_justice_administration,1040.0,0,0,0,0,0,0,0,0,1,-0.42423445151406486
166,2019,16,42.6954,-1.6761,654214.0,9_justice_administration,415.0,0,0,0,0,0,0,0,0,1,-0.44628558495268505
167,2019,17,43.263,-2.9349,2207776.0,9_justice_administration,1573.0,0,0,0,0,0,0,0,0,1,-0.40346074984206776
168,2019,18,42.2871,-2.5396,316798.0,9_justice_administration,229.0,0,0,0,0,0,0,0,0,1,-0.45392364561132137
169,2019,9,35.8894,-5.3198,84777.0,9_justice_administration,148.0,0,0,0,0,0,0,0,0,1,-0.4535010550592739
170,2019,10,35.293,-2.9387,86487.0,9_justice_administration,97.0,0,0,0,0,0,0,0,0,1,-0.45717972634663384
171,2020,0,37.3873,-5.9869,8414240.0,1_against_people,39193.46916666666,1,0,0,0,0,0,0,0,0,0.9148185669891504
172,2020,1,41.6488,-0.8891,1319291.0,1_against_people,3987.988333333335,1,0,0,0,0,0,0,0,0,-0.2887268213553983
173,2020,2,43.3619,-5.8494,1022800.0,1_against_people,3199.0055555555537,1,0,0,0,0,0,0,0,0,-0.33588499728949056
174,2020,3,39.5712,2.6466,1149460.0,1_against_people,6983.27777777779,1,0,0,0,0,0,0,0,0,-0.16872779177521946
175,2020,5,28.2916,-16.6291,2153389.0,1_against_people,11980.938888888892,1,0,0,0,0,0,0,0,0,0.0007207358458583674
176,2020,4,43.1828,-3.9878,581078.0,1_against_people,1879.5419444444435,1,0,0,0,0,0,0,0,0,-0.38179599423586247
177,2020,7,41.6523,-4.7245,2399548.0,1_against_people,6810.446944444442,1,0,0,0,0,0,0,0,0,-0.1819764893772987
178,2020,6,39.8628,-4.0273,2032863.0,1_against_people,6323.563888888892,1,0,0,0,0,0,0,0,0,-0.19430863880384647
179,2020,8,41.3851,2.1734,7675217.0,1_against_people,20574.881666666657,1,0,0,0,0,0,0,0,0,0.33983897624840637
180,2020,11,39.4699,-0.3763,5003769.0,1_against_people,22565.97555555554,1,0,0,0,0,0,0,0,0,0.39232597475562225
181,2020,12,39.4765,-6.3722,1067710.0,1_against_people,3368.641944444443,1,0,0,0,0,0,0,0,0,-0.33860915411090775
182,2020,13,42.5751,-8.1339,2699499.0,1_against_people,7404.859722222219,1,0,0,0,0,0,0,0,0,-0.15230523640497792
183,2020,14,40.4168,-3.7038,6663394.0,1_against_people,25503.28472222222,1,0,0,0,0,0,0,0,0,0.6130308738608482
184,2020,15,37.9922,-1.1307,1493898.0,1_against_people,5782.531944444446,1,0,0,0,0,0,0,0,0,-0.22564978822404771
185,2020,16,42.6954,-1.6761,654214.0,1_against_people,2595.3488888888883,1,0,0,0,0,0,0,0,0,-0.36128955212875163
186,2020,17,43.263,-2.9349,2207776.0,1_against_people,5829.4538888888865,1,0,0,0,0,0,0,0,0,-0.21067059488950793
187,2020,18,42.2871,-2.5396,316798.0,1_against_people,1097.3922222222232,1,0,0,0,0,0,0,0,0,-0.42022771289641464
188,2020,9,35.8894,-5.3198,84777.0,1_against_people,739.834444444446,1,0,0,0,0,0,0,0,0,-0.4328882910041114
189,2020,10,35.293,-2.9387,86487.0,1_against_people,945.9397222222213,1,0,0,0,0,0,0,0,0,-0.42550373409890974
190,2020,0,37.3873,-5.9869,8414240.0,2_against_freedom,23631.34111111112,0,1,0,0,0,0,0,0,0,0.4974028044792256
191,2020,1,41.6488,-0.8891,1319291.0,2_against_freedom,3366.7975000000015,0,1,0,0,0,0,0,0,0,-0.3757398274860294
