year,region,Latitude,Longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,values_year_minus_1,values_year_minus_2,values_year_minus_3
2019,3,39.5712,2.6466,1.149.460,4718,0,1,0,0,0,0,0,0,0,4373.0,4377.0,4258.0
2019,5,28.2916,-16.6291,2.153.389,9328,0,1,0,0,0,0,0,0,0,8955.0,8825.0,8344.0
2019,4,43.1828,-3.9878,581.078,1455,0,1,0,0,0,0,0,0,0,1366.0,1344.0,1261.0
2019,7,41.6523,-4.7245,2.399.548,5398,0,1,0,0,0,0,0,0,0,5270.0,5083.0,5110.0
2019,6,39.8628,-4.0273,2.032.863,4655,0,1,0,0,0,0,0,0,0,4566.0,4362.0,4160.0
2019,8,41.3851,2.1734,7.675.217,18675,0,1,0,0,0,0,0,0,0,18562.0,18110.0,18226.0
2019,11,39.4699,-0.3763,5.003.769,13046,0,1,0,0,0,0,0,0,0,12488.0,12282.0,11726.0
2019,12,39.4765,-6.3722,1.067.710,2423,0,1,0,0,0,0,0,0,0,2198.0,2233.0,2092.0
2019,13,42.5751,-8.1339,2.699.499,5692,0,1,0,0,0,0,0,0,0,5819.0,5935.0,5838.0
2019,14,40.4168,-3.7038,6.663.394,15655,0,1,0,0,0,0,0,0,0,14497.0,14066.0,13350.0
2019,15,37.9922,-1.1307,1.493.898,3741,0,1,0,0,0,0,0,0,0,3414.0,3312.0,3032.0
2019,16,42.6954,-1.6761,654.214,1799,0,1,0,0,0,0,0,0,0,1681.0,1677.0,1812.0
2019,17,43.263,-2.9349,2.207.776,7779,0,1,0,0,0,0,0,0,0,7830.0,7722.0,7684.0
2019,18,42.2871,-2.5396,316.798,518,0,1,0,0,0,0,0,0,0,502.0,461.0,444.0
2019,9,35.8894,-5.3198,84.777,283,0,1,0,0,0,0,0,0,0,248.0,252.0,322.0
2019,10,35.293,-2.9387,86.487,296,0,1,0,0,0,0,0,0,0,340.0,356.0,290.0
2018,0,37.3873,-5.9869,8.384.408,24513,0,1,0,0,0,0,0,0,0,24427.0,23184.0,14587.0
2018,1,41.6488,-0.8891,1.308.728,2233,0,1,0,0,0,0,0,0,0,2071.0,2134.0,1384.0
2018,2,43.3619,-5.8494,1.028.244,1751,0,1,0,0,0,0,0,0,0,1842.0,1824.0,1155.0
2018,3,39.5712,2.6466,1.128.908,4373,0,1,0,0,0,0,0,0,0,4377.0,4258.0,2685.0
2018,5,28.2916,-16.6291,2.127.685,8955,0,1,0,0,0,0,0,0,0,8825.0,8344.0,5244.0
2018,4,43.1828,-3.9878,580.229,1366,0,1,0,0,0,0,0,0,0,1344.0,1261.0,864.0
2018,7,41.6523,-4.7245,2.409.164,5270,0,1,0,0,0,0,0,0,0,5083.0,5110.0,3208.0
2018,6,39.8628,-4.0273,2.026.807,4566,0,1,0,0,0,0,0,0,0,4362.0,4160.0,2707.0
2018,8,41.3851,2.1734,7.600.065,18562,0,1,0,0,0,0,0,0,0,18110.0,18226.0,15034.0
2018,11,39.4699,-0.3763,4.963.703,12488,0,1,0,0,0,0,0,0,0,12282.0,11726.0,7906.0
2018,12,39.4765,-6.3722,1.072.863,2198,0,1,0,0,0,0,0,0,0,2233.0,2092.0,1312.0
2018,13,42.5751,-8.1339,2.701.743,5819,0,1,0,0,0,0,0,0,0,5935.0,5838.0,3736.0
2018,14,40.4168,-3.7038,6.578.079,14497,0,1,0,0,0,0,0,0,0,14066.0,13350.0,8609.0
2018,15,37.9922,-1.1307,1.478.509,3414,0,1,0,0,0,0,0,0,0,3312.0,3032.0,2122.0
2018,16,42.6954,-1.6761,647.554,1681,0,1,0,0,0,0,0,0,0,1677.0,1812.0,977.0
2018,17,43.263,-2.9349,2.199.088,7830,0,1,0,0,0,0,0,0,0,7722.0,7684.0,6342.0
2018,18,42.2871,-2.5396,315.675,502,0,1,0,0,0,0,0,0,0,461.0,444.0,327.0
2018,9,35.8894,-5.3198,85.144,248,0,1,0,0,0,0,0,0,0,252.0,322.0,182.0
2018,10,35.293,-2.9387,86.384,340,0,1,0,0,0,0,0,0,0,356.0,290.0,172.0
2017,0,37.3873,-5.9869,8.379.820,24427,0,1,0,0,0,0,0,0,0,23184.0,14587.0,7364.0
2017,1,41.6488,-0.8891,1.308.750,2071,0,1,0,0,0,0,0,0,0,2134.0,1384.0,909.0
2017,2,43.3619,-5.8494,1.034.960,1842,0,1,0,0,0,0,0,0,0,1824.0,1155.0,494.0
2017,3,39.5712,2.6466,1.115.999,4377,0,1,0,0,0,0,0,0,0,4258.0,2685.0,1350.0
2017,5,28.2916,-16.6291,2.108.121,8825,0,1,0,0,0,0,0,0,0,8344.0,5244.0,2014.0
2017,4,43.1828,-3.9878,580.295,1344,0,1,0,0,0,0,0,0,0,1261.0,864.0,356.0
2017,7,41.6523,-4.7245,2.425.801,5083,0,1,0,0,0,0,0,0,0,5110.0,3208.0,1242.0
2017,6,39.8628,-4.0273,2.031.479,4362,0,1,0,0,0,0,0,0,0,4160.0,2707.0,1303.0
2017,8,41.3851,2.1734,7.555.830,18110,0,1,0,0,0,0,0,0,0,18226.0,15034.0,10222.0
2017,11,39.4699,-0.3763,4.941.509,12282,0,1,0,0,0,0,0,0,0,11726.0,7906.0,4413.0
2017,12,39.4765,-6.3722,1.079.920,2233,0,1,0,0,0,0,0,0,0,2092.0,1312.0,706.0
2017,13,42.5751,-8.1339,2.708.339,5935,0,1,0,0,0,0,0,0,0,5838.0,3736.0,1761.0
2017,14,40.4168,-3.7038,6.507.184,14066,0,1,0,0,0,0,0,0,0,13350.0,8609.0,3784.0
2017,15,37.9922,-1.1307,1.470.273,3312,0,1,0,0,0,0,0,0,0,3032.0,2122.0,1169.0
2017,16,42.6954,-1.6761,643.234,1677,0,1,0,0,0,0,0,0,0,1812.0,977.0,523.0
2017,17,43.263,-2.9349,2.194.158,7722,0,1,0,0,0,0,0,0,0,7684.0,6342.0,4788.0
2017,18,42.2871,-2.5396,315.381,461,0,1,0,0,0,0,0,0,0,444.0,327.0,194.0
2017,9,35.8894,-5.3198,84.959,252,0,1,0,0,0,0,0,0,0,322.0,182.0,109.0
2017,10,35.293,-2.9387,86.120,356,0,1,0,0,0,0,0,0,0,290.0,172.0,82.0
2016,0,37.3873,-5.9869,8.388.107,23184,0,1,0,0,0,0,0,0,0,14587.0,7364.0,7773.0
2016,1,41.6488,-0.8891,1.308.563,2134,0,1,0,0,0,0,0,0,0,1384.0,909.0,909.0
2016,2,43.3619,-5.8494,1.042.608,1824,0,1,0,0,0,0,0,0,0,1155.0,494.0,513.0
2016,3,39.5712,2.6466,1.107.220,4258,0,1,0,0,0,0,0,0,0,2685.0,1350.0,1327.0
2016,5,28.2916,-16.6291,2.101.924,8344,0,1,0,0,0,0,0,0,0,5244.0,2014.0,2103.0
2016,4,43.1828,-3.9878,582.206,1261,0,1,0,0,0,0,0,0,0,864.0,356.0,331.0
2016,7,41.6523,-4.7245,2.447.519,5110,0,1,0,0,0,0,0,0,0,3208.0,1242.0,1221.0
2016,6,39.8628,-4.0273,2.041.631,4160,0,1,0,0,0,0,0,0,0,2707.0,1303.0,1343.0
2016,8,41.3851,2.1734,7.522.596,18226,0,1,0,0,0,0,0,0,0,15034.0,10222.0,10144.0
2016,11,39.4699,-0.3763,4.959.968,11726,0,1,0,0,0,0,0,0,0,7906.0,4413.0,4454.0
2016,12,39.4765,-6.3722,1.087.778,2092,0,1,0,0,0,0,0,0,0,1312.0,706.0,663.0
2016,13,42.5751,-8.1339,2.718.525,5838,0,1,0,0,0,0,0,0,0,3736.0,1761.0,1667.0
2016,14,40.4168,-3.7038,6.466.996,13350,0,1,0,0,0,0,0,0,0,8609.0,3784.0,3797.0
2016,15,37.9922,-1.1307,1.464.847,3032,0,1,0,0,0,0,0,0,0,2122.0,1169.0,1128.0
2016,16,42.6954,-1.6761,640.647,1812,0,1,0,0,0,0,0,0,0,977.0,523.0,748.0
2016,17,43.263,-2.9349,2.189.534,7684,0,1,0,0,0,0,0,0,0,6342.0,4788.0,4680.0
2016,18,42.2871,-2.5396,315.794,444,0,1,0,0,0,0,0,0,0,327.0,194.0,165.0
2016,9,35.8894,-5.3198,84.519,322,0,1,0,0,0,0,0,0,0,182.0,109.0,143.0
2016,10,35.293,-2.9387,86.026,290,0,1,0,0,0,0,0,0,0,172.0,82.0,89.0
2015,0,37.3873,-5.9869,8.399.043,14587,0,1,0,0,0,0,0,0,0,7364.0,7773.0,7671.0
2015,1,41.6488,-0.8891,1.317.847,1384,0,1,0,0,0,0,0,0,0,909.0,909.0,914.0
2015,2,43.3619,-5.8494,1.051.229,1155,0,1,0,0,0,0,0,0,0,494.0,513.0,539.0
2015,3,39.5712,2.6466,1.104.479,2685,0,1,0,0,0,0,0,0,0,1350.0,1327.0,1384.0
2015,5,28.2916,-16.6291,2.100.306,5244,0,1,0,0,0,0,0,0,0,2014.0,2103.0,1983.0
2015,4,43.1828,-3.9878,585.179,864,0,1,0,0,0,0,0,0,0,356.0,331.0,359.0
2015,7,41.6523,-4.7245,2.472.052,3208,0,1,0,0,0,0,0,0,0,1242.0,1221.0,1220.0
2015,6,39.8628,-4.0273,2.059.191,2707,0,1,0,0,0,0,0,0,0,1303.0,1343.0,1286.0
2015,8,41.3851,2.1734,7.508.106,15034,0,1,0,0,0,0,0,0,0,10222.0,10144.0,10819.0
2015,11,39.4699,-0.3763,4.980.689,7906,0,1,0,0,0,0,0,0,0,4413.0,4454.0,4640.0
2015,12,39.4765,-6.3722,1.092.997,1312,0,1,0,0,0,0,0,0,0,706.0,663.0,629.0
2015,13,42.5751,-8.1339,2.732.347,3736,0,1,0,0,0,0,0,0,0,1761.0,1667.0,1761.0
2015,14,40.4168,-3.7038,6.436.996,8609,0,1,0,0,0,0,0,0,0,3784.0,3797.0,3846.0
2015,15,37.9922,-1.1307,1.467.288,2122,0,1,0,0,0,0,0,0,0,1169.0,1128.0,1191.0
2015,16,42.6954,-1.6761,640.476,977,0,1,0,0,0,0,0,0,0,523.0,748.0,974.0
