Unnamed: 0,1. CONTRA LAS PERSONAS,1.1.-Homicidios dolosos/asesinatos,1.1.1.-Homicidios dolosos/asesinatos consumados,1.2.-Lesiones,1.3.-Malos tratos ámbito familiar,1.4.-Otros contra las personas,2. CONTRA LA LIBERTAD,2.1.-Malos tratos habituales en el ámbito familiar,2.2.-Otros contra la libertad,3. LIBERTAD SEXUAL,3.1.-Agresión sexual,3.2.-Agresión sexual con penetración,3.3.-Corrupción de menores o incapacitados,3.4.-Pornografía de menores,3.5.-Otros contra la libertad sexual,4. RELACIONES FAMILIARES,5. PATRIMONIO,5.1.-Hurtos,5.2.-Robos con fuerza en las cosas,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,5.2.2.-Robos con fuerza en viviendas,5.2.3.-Robos con fuerza en establecimientos,5.3.-Robos con violencia o intimidación,5.3.1.-Robos con violencia en vía pública,5.3.2.-Robos con violencia en viviendas,5.3.3.-Robos con violencia en establecimientos,5.4.-Sustracción de vehículos,5.5.-Estafas,5.5.1.-Estafas informáticas,5.6.-Daños,5.7.-Contra la propiedad intelectual/industrial,5.8.-Blanqueo de capitales,5.9.-Otros contra el patrimonio,6. SEGURIDAD COLECTIVA,6.1.-Tráfico de drogas,6.2.-Contra la seguridad vial,6.3.-Otros contra la seguridad colectiva,7. FALSEDADES,8. ADMÓN. PÚBLICA,9. ADMÓN. JUSTICIA,10. ORDEN PÚBLICO,11. LEGISLACIÓN ESPECIAL,12. OTRAS INFRACCIONES PENALES,TOTAL INFRACCIONES PENALES,Year
    CANARIAS,13601.0,60.0,13.0,7038.0,6060.0,443.0,9960.0,841.0,9119.0,1148.0,748.0,234.0,19.0,33.0,114.0,599.0,61602.0,23596.0,8596.0,3373.0,2370.0,1241.0,1615.0,948.0,138.0,300.0,1244.0,16324.0,11699.0,7688.0,91.0,10.0,2438.0,3649.0,744.0,2799.0,106.0,1290.0,23.0,1975.0,935.0,1.0,668.0,95451.0,2022.0
    CANTABRIA,2463.0,12.0,1.0,1504.0,865.0,82.0,1655.0,163.0,1492.0,162.0,90.0,39.0,4.0,11.0,18.0,55.0,17321.0,4878.0,2841.0,578.0,1348.0,445.0,242.0,109.0,31.0,71.0,86.0,5888.0,4349.0,2760.0,22.0,2.0,602.0,895.0,83.0,772.0,40.0,259.0,2.0,390.0,362.0,1.0,144.0,23709.0,2022.0
    CASTILLA Y LEÓN,8473.0,55.0,16.0,5126.0,3046.0,246.0,6075.0,584.0,5491.0,620.0,362.0,107.0,23.0,44.0,84.0,189.0,63435.0,17361.0,8160.0,1564.0,2966.0,1318.0,710.0,374.0,84.0,159.0,512.0,23982.0,18968.0,10495.0,45.0,9.0,2161.0,3098.0,482.0,2493.0,123.0,1706.0,18.0,1516.0,1018.0,5.0,691.0,86844.0,2022.0
    CASTILLA - LA MANCHA,8388.0,66.0,19.0,4708.0,3436.0,178.0,5816.0,807.0,5009.0,619.0,403.0,116.0,11.0,13.0,76.0,389.0,57046.0,14393.0,10344.0,2349.0,3307.0,1406.0,899.0,534.0,97.0,149.0,654.0,18821.0,13608.0,9024.0,20.0,32.0,2859.0,3496.0,560.0,2798.0,138.0,1842.0,9.0,1663.0,985.0,11.0,578.0,80842.0,2022.0
    CATALUÑA,23180.0,264.0,63.0,14828.0,7644.0,444.0,21400.0,1716.0,19684.0,3671.0,1986.0,1184.0,17.0,189.0,295.0,1082.0,400321.0,162170.0,64306.0,29452.0,20019.0,6671.0,25049.0,18090.0,1098.0,2495.0,7411.0,88657.0,61607.0,39074.0,243.0,47.0,13364.0,11531.0,3965.0,7346.0,220.0,4715.0,152.0,4043.0,4138.0,15.0,783.0,475031.0,2022.0
    COMUNITAT VALENCIANA,27316.0,175.0,38.0,13947.0,12711.0,483.0,15991.0,2441.0,13550.0,2390.0,1485.0,513.0,66.0,78.0,248.0,912.0,191865.0,71315.0,33752.0,11423.0,14601.0,3216.0,5663.0,3532.0,449.0,839.0,3160.0,43615.0,29040.0,26456.0,195.0,55.0,7654.0,9192.0,2034.0,6880.0,278.0,4883.0,52.0,5525.0,3717.0,26.0,1102.0,262971.0,2022.0
    EXTREMADURA,3304.0,10.0,3.0,1972.0,1267.0,55.0,2637.0,272.0,2365.0,295.0,198.0,51.0,8.0,10.0,28.0,238.0,22187.0,6388.0,3490.0,565.0,1198.0,614.0,296.0,154.0,52.0,61.0,163.0,7595.0,6577.0,3521.0,12.0,4.0,718.0,1262.0,265.0,890.0,107.0,705.0,2.0,785.0,336.0,9.0,333.0,32093.0,2022.0
    GALICIA,9217.0,52.0,7.0,5454.0,3480.0,231.0,6959.0,691.0,6268.0,719.0,433.0,155.0,19.0,29.0,83.0,190.0,68054.0,19527.0,8661.0,3193.0,2690.0,1361.0,963.0,529.0,95.0,215.0,528.0,25902.0,18456.0,10280.0,40.0,13.0,2140.0,5169.0,505.0,4481.0,183.0,1404.0,25.0,1568.0,973.0,7.0,619.0,94904.0,2022.0
    MADRID (COMUNIDAD DE),33243.0,183.0,46.0,13585.0,18839.0,636.0,17369.0,1183.0,16186.0,2663.0,1578.0,613.0,43.0,88.0,341.0,862.0,319089.0,132920.0,39960.0,21974.0,9518.0,4034.0,12626.0,8560.0,582.0,1661.0,7397.0,80979.0,57794.0,35696.0,183.0,73.0,9255.0,8640.0,2984.0,5425.0,231.0,8149.0,59.0,5377.0,5479.0,11.0,983.0,401924.0,2022.0
    MURCIA (REGIÓN DE),7590.0,59.0,8.0,4129.0,3290.0,112.0,4748.0,352.0,4396.0,620.0,436.0,93.0,7.0,20.0,64.0,592.0,49030.0,15475.0,10214.0,2922.0,4001.0,1306.0,1999.0,1293.0,130.0,317.0,774.0,12221.0,8651.0,6140.0,37.0,10.0,2160.0,1786.0,527.0,1186.0,73.0,1378.0,9.0,1618.0,884.0,14.0,448.0,68717.0,2022.0
