year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA,values_year_minus_1,values_year_minus_2,values_year_minus_3
2020,8,41.3851,2.1734,7675217.0,4_family_relationships,1662.085277777778,0,0,0,1,0,0,0,0,0,-0.41286118887945683,,,
2020,11,39.4699,-0.3763,5003769.0,4_family_relationships,962.0116666666667,0,0,0,1,0,0,0,0,0,-0.4261955723322391,,,
2020,12,39.4765,-6.3722,1067710.0,4_family_relationships,222.00361111111116,0,0,0,1,0,0,0,0,0,-0.451719171892734,,,
2020,13,42.5751,-8.1339,2699499.0,4_family_relationships,256.77944444444444,0,0,0,1,0,0,0,0,0,-0.45250751276355683,,,
2020,14,40.4168,-3.7038,6663394.0,4_family_relationships,941.430555555556,0,0,0,1,0,0,0,0,0,-0.428133019565089,,,
2020,15,37.9922,-1.1307,1493898.0,4_family_relationships,536.3544444444444,0,0,0,1,0,0,0,0,0,-0.4380942605286404,,,
2020,16,42.6954,-1.6761,654214.0,4_family_relationships,103.34388888888883,0,0,0,1,0,0,0,0,0,-0.45693811378554067,,,
2020,17,43.263,-2.9349,2207776.0,4_family_relationships,219.8702777777776,0,0,0,1,0,0,0,0,0,-0.4531892685410787,,,
2020,18,42.2871,-2.5396,316798.0,4_family_relationships,31.35055555555556,0,0,0,1,0,0,0,0,0,-0.45909539467936844,,,
2020,9,35.8894,-5.3198,84777.0,4_family_relationships,46.79833333333332,0,0,0,1,0,0,0,0,0,-0.4589259196779066,,,
2020,10,35.293,-2.9387,86487.0,4_family_relationships,39.544166666666676,0,0,0,1,0,0,0,0,0,-0.45903658310335166,,,
2020,0,37.3873,-5.9869,8414240.0,5_property_crimes,244746.735,0,0,0,0,1,0,0,0,0,8.813713819224345,,,
2020,1,41.6488,-0.8891,1319291.0,5_property_crimes,29133.951111111113,0,0,0,0,1,0,0,0,0,0.6932949321358541,,,
2020,2,43.3619,-5.8494,1022800.0,5_property_crimes,18225.705277777775,0,0,0,0,1,0,0,0,0,0.25566272829613845,,,
2020,3,39.5712,2.6466,1149460.0,5_property_crimes,53768.386666666695,0,0,0,0,1,0,0,0,0,1.7088502376638655,,,
2020,5,28.2916,-16.6291,2153389.0,5_property_crimes,61237.19305555556,0,0,0,0,1,0,0,0,0,1.9576554245061952,,,
2020,4,43.1828,-3.9878,581078.0,5_property_crimes,12383.662222222207,0,0,0,0,1,0,0,0,0,0.029632146462128386,,,
2020,7,41.6523,-4.7245,2399548.0,5_property_crimes,54417.341666666674,0,0,0,0,1,0,0,0,0,1.6670078063128775,,,
2020,6,39.8628,-4.0273,2032863.0,5_property_crimes,47156.45638888883,0,0,0,0,1,0,0,0,0,1.4221599531432114,,,
2020,8,41.3851,2.1734,7675217.0,5_property_crimes,354290.6663888889,0,0,0,0,1,0,0,0,0,14.851291864093508,,,
2020,11,39.4699,-0.3763,5003769.0,5_property_crimes,179758.20833333328,0,0,0,0,1,0,0,0,0,6.248394640534847,,,
2020,12,39.4765,-6.3722,1067710.0,5_property_crimes,18459.02861111111,0,0,0,0,1,0,0,0,0,0.24491250504186377,,,
2020,13,42.5751,-8.1339,2699499.0,5_property_crimes,53176.403611111105,0,0,0,0,1,0,0,0,0,1.6468908148308241,,,
2020,14,40.4168,-3.7038,6663394.0,5_property_crimes,315133.431388889,0,0,0,0,1,0,0,0,0,12.140323087798315,,,
2020,15,37.9922,-1.1307,1493898.0,5_property_crimes,39107.44222222223,0,0,0,0,1,0,0,0,0,1.092106754898865,,,
2020,16,42.6954,-1.6761,654214.0,5_property_crimes,18289.13166666666,0,0,0,0,1,0,0,0,0,0.30618983239849884,,,
2020,17,43.263,-2.9349,2207776.0,5_property_crimes,63402.969444444454,0,0,0,0,1,0,0,0,0,2.1447567115908295,,,
2020,18,42.2871,-2.5396,316798.0,5_property_crimes,5997.564166666667,0,0,0,0,1,0,0,0,0,-0.2326210881820411,,,
2020,9,35.8894,-5.3198,84777.0,5_property_crimes,2562.6727777777774,0,0,0,0,1,0,0,0,0,-0.3762344425393362,,,
2020,10,35.293,-2.9387,86487.0,5_property_crimes,2930.092500000003,0,0,0,0,1,0,0,0,0,-0.33923488987382544,,,
2020,0,37.3873,-5.9869,8414240.0,6_collective_security,14002.100277777801,0,0,0,0,0,1,0,0,0,0.07758113386096753,,,
2020,1,41.6488,-0.8891,1319291.0,6_collective_security,1071.3508333333332,0,0,0,0,0,1,0,0,0,-0.4127571072387247,,,
2020,2,43.3619,-5.8494,1022800.0,6_collective_security,1072.1141666666667,0,0,0,0,0,1,0,0,0,-0.41768683276721774,,,
2020,3,39.5712,2.6466,1149460.0,6_collective_security,2581.168888888889,0,0,0,0,0,1,0,0,0,-0.35644514934776733,,,
2020,5,28.2916,-16.6291,2153389.0,6_collective_security,3418.9772222222223,0,0,0,0,0,1,0,0,0,-0.331557342077265,,,
2020,4,43.1828,-3.9878,581078.0,6_collective_security,750.3938888888893,0,0,0,0,0,1,0,0,0,-0.4323551580829109,,,
2020,7,41.6523,-4.7245,2399548.0,6_collective_security,2537.2374999999993,0,0,0,0,0,1,0,0,0,-0.3564556262660904,,,
2020,6,39.8628,-4.0273,2032863.0,6_collective_security,2623.800277777778,0,0,0,0,0,1,0,0,0,-0.34979650354989883,,,
2020,8,41.3851,2.1734,7675217.0,6_collective_security,8153.667222222223,0,0,0,0,0,1,0,0,0,-0.12769483000353682,,,
2020,11,39.4699,-0.3763,5003769.0,6_collective_security,7878.66,0,0,0,0,0,1,0,0,0,-0.16758577960078025,,,
2020,12,39.4765,-6.3722,1067710.0,6_collective_security,985.7758333333328,0,0,0,0,0,1,0,0,0,-0.4170571992091781,,,
2020,13,42.5751,-8.1339,2699499.0,6_collective_security,4350.551388888889,0,0,0,0,0,1,0,0,0,-0.2779003687248772,,,
2020,14,40.4168,-3.7038,6663394.0,6_collective_security,6167.153055555536,0,0,0,0,0,1,0,0,0,-0.20276871495186732,,,
2020,15,37.9922,-1.1307,1493898.0,6_collective_security,1430.2419444444465,0,0,0,0,0,1,0,0,0,-0.4017149076100669,,,
2020,16,42.6954,-1.6761,654214.0,6_collective_security,898.4086111111112,0,0,0,0,0,1,0,0,0,-0.4101084820413502,,,
2020,17,43.263,-2.9349,2207776.0,6_collective_security,2451.5691666666626,0,0,0,0,0,1,0,0,0,-0.3601410758244528,,,
2020,18,42.2871,-2.5396,316798.0,6_collective_security,345.72111111111207,0,0,0,0,0,1,0,0,0,-0.44655744236513656,,,
2020,9,35.8894,-5.3198,84777.0,6_collective_security,432.30444444444413,0,0,0,0,0,1,0,0,0,-0.4430450812799969,,,
2020,10,35.293,-2.9387,86487.0,6_collective_security,241.79055555555527,0,0,0,0,0,1,0,0,0,-0.44890106098789,,,
2020,0,37.3873,-5.9869,8414240.0,7_forgeries,3573.0713888888854,0,0,0,0,0,0,1,0,0,-0.3150100384531148,,,
2020,1,41.6488,-0.8891,1319291.0,7_forgeries,399.7025,0,0,0,0,0,0,1,0,0,-0.44423209319097884,,,
2020,2,43.3619,-5.8494,1022800.0,7_forgeries,211.9683333333333,0,0,0,0,0,0,1,0,0,-0.4525840507193256,,,
2020,3,39.5712,2.6466,1149460.0,7_forgeries,557.295277777778,0,0,0,0,0,0,1,0,0,-0.43668003114651033,,,
2020,5,28.2916,-16.6291,2153389.0,7_forgeries,894.8605555555553,0,0,0,0,0,0,1,0,0,-0.42498176288386924,,,
2020,4,43.1828,-3.9878,581078.0,7_forgeries,133.03222222222226,0,0,0,0,0,0,1,0,0,-0.4550417169037381,,,
2020,7,41.6523,-4.7245,2399548.0,7_forgeries,848.695277777778,0,0,0,0,0,0,1,0,0,-0.42896714854019274,,,
2020,6,39.8628,-4.0273,2032863.0,7_forgeries,912.4577777777776,0,0,0,0,0,0,1,0,0,-0.41937228021292944,,,
2020,8,41.3851,2.1734,7675217.0,7_forgeries,3315.292500000001,0,0,0,0,0,0,1,0,0,-0.32587250846475224,,,
2020,11,39.4699,-0.3763,5003769.0,7_forgeries,2858.344166666666,0,0,0,0,0,0,1,0,0,-0.3416220077108401,,,
2020,12,39.4765,-6.3722,1067710.0,7_forgeries,391.43861111111136,0,0,0,0,0,0,1,0,0,-0.44387660600578754,,,
2020,13,42.5751,-8.1339,2699499.0,7_forgeries,787.9802777777792,0,0,0,0,0,0,1,0,0,-0.4293862704878996,,,
2020,14,40.4168,-3.7038,6663394.0,7_forgeries,3214.1250000000014,0,0,0,0,0,0,1,0,0,-0.3226349170351123,,,
2020,15,37.9922,-1.1307,1493898.0,7_forgeries,541.9158333333336,0,0,0,0,0,0,1,0,0,-0.4354099152378768,,,
2020,16,42.6954,-1.6761,654214.0,7_forgeries,374.0561111111109,0,0,0,0,0,0,1,0,0,-0.44748627949878655,,,
2020,17,43.263,-2.9349,2207776.0,7_forgeries,977.3819444444449,0,0,0,0,0,0,1,0,0,-0.4193325097871597,,,
2020,18,42.2871,-2.5396,316798.0,7_forgeries,78.45333333333335,0,0,0,0,0,0,1,0,0,-0.4576270541084799,,,
2020,9,35.8894,-5.3198,84777.0,7_forgeries,467.7372222222224,0,0,0,0,0,0,1,0,0,-0.43930781064573965,,,
2020,10,35.293,-2.9387,86487.0,7_forgeries,96.12972222222228,0,0,0,0,0,0,1,0,0,-0.45341189235329704,,,
