Region,1_against_people,1.1_intentional_homicides_murders,1.1.1_intentional_homicides_murders_committed,1.2_injuries,1.3_domestic_violence,1.4_other_crimes_against_people,2_against_freedom,2.1_habitual_domestic_violence,2.2_other_crimes_against_freedom,3_sexual_freedom,3.1_sexual_assault,3.1.1_sexual_assault_with_penetration,3.2_corruption_of_minors_or_disabled,3.3_child_pornography,3.4_other_crimes_against_sexual_freedom,4_family_relationships,5_property_crimes,5.1_thefts,5.2_robbery_with_force,521_Robos_con_fuerza_en_las_cosas_en_el_interior_de_vehículos,5.2.2_robbery_with_force_in_homes,5.2.3_robbery_with_force_in_establishments,5.3_robbery_with_violence_or_intimidation,5.3.1_robbery_with_violence_in_public_ways,5.3.2_robbery_with_violence_in_homes,5.3.3_robbery_with_violence_in_establishments,5.4_vehicle_theft,5.5_fraud,5.5.1_computer_fraud,5.6_damage,5.7_against_intellectual_industrial_property,5.8_money_laundering,5.9_other_property_crimes,6_collective_security,6.1_drug_trafficking,6.2_against_road_safety,6.3_other_collective_security_crimes,7_forgeries,8_public_administration,9_justice_administration,10_public_order,11_special_legislation,12_other_criminal_offenses,total_criminal_offenses,year
    DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
    TOTAL NACIONAL,286446,1125,364,105913,59703,119705,44476,17523,26953,9008,5101,1631,278,569,1429,10424,1754632,790281,405939,139483,126425,41559,96607,45144,6912,6822,55197,124675,27231,246355,2884,199,32495,76654,14509,59634,2511,18223,325,28205,33582,237,6655,2268867,2012
    EN EL EXTRANJERO,222,1,0,44,65,112,90,16,74,24,12,2,2,5,3,47,15899,2567,325,131,22,13,205,144,3,10,149,12541,3963,41,2,6,63,9,2,7,0,286,0,7,5,0,10,16599,2012
    DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
    TOTAL NACIONAL,300654,1210,385,112824,62260,124360,45131,17694,27437,9892,5479,1887,253,715,1558,9087,1742631,786704,414961,153259,100780,41250,87718,38831,5450,6458,60061,106304,21075,254361,2643,171,29708,85010,15220,67374,2416,20175,341,29410,36317,285,6592,2285525,2011
    EN EL EXTRANJERO,190,2,1,27,75,86,94,15,79,37,10,10,2,13,2,34,15035,2902,445,144,16,14,162,101,0,2,137,11261,3502,45,4,8,71,17,16,1,0,189,1,8,3,3,5,15616,2011
    DESCONOCIDA,6,0,0,1,3,2,2,1,1,2,1,0,0,1,0,0,118,46,23,10,0,3,4,0,0,0,2,30,13,9,0,0,4,7,7,0,0,7,2,1,2,0,6,153,2011
    TOTAL NACIONAL,297488,1177,401,113067,60307,122937,42376,17270,25106,9957,5068,1991,345,953,1600,7877,1779019,785635,443772,141674,111656,48958,84411,42238,4950,7772,65948,102567,20563,266291,3619,182,26594,74158,14391,57088,2679,17502,416,27905,33767,234,6785,2297484,2010
    EN EL EXTRANJERO,158,2,2,17,53,86,70,17,53,33,3,8,5,15,2,29,20188,2427,674,142,19,51,177,138,5,6,125,16688,4647,28,1,5,63,6,6,0,0,226,1,13,2,0,8,20734,2010
    DESCONOCIDA,6,0,0,5,1,0,4,2,2,6,2,1,1,2,0,2,897,188,218,0,3,30,5,2,1,0,11,446,168,4,1,0,24,1,1,0,0,6,0,0,1,0,2,925,2010
