region,1_against_people,1.1_intentional_homicides_murders,1.1.1_intentional_homicides_murders_committed,1.2_injuries,1.3_domestic_violence,1.4_other_crimes_against_people,2_against_freedom,2.1_habitual_domestic_violence,2.2_other_crimes_against_freedom,3_sexual_freedom,3.1_sexual_assault,3.1.1_sexual_assault_with_penetration,3.2_corruption_of_minors_or_disabled,3.3_child_pornography,3.4_other_crimes_against_sexual_freedom,4_family_relationships,5_property_crimes,5.1_thefts,5.2_robbery_with_force,521_Robos_con_fuerza_en_las_cosas_en_el_interior_de_vehículos,5.2.2_robbery_with_force_in_homes,5.2.3_robbery_with_force_in_establishments,5.3_robbery_with_violence_or_intimidation,5.3.1_robbery_with_violence_in_public_ways,5.3.2_robbery_with_violence_in_homes,5.3.3_robbery_with_violence_in_establishments,5.4_vehicle_theft,5.5_fraud,5.5.1_computer_fraud,5.6_damage,5.7_against_intellectual_industrial_property,5.8_money_laundering,5.9_other_property_crimes,6_collective_security,6.1_drug_trafficking,6.2_against_road_safety,6.3_other_collective_security_crimes,7_forgeries,8_public_administration,9_justice_administration,10_public_order,11_special_legislation,12_other_criminal_offenses,total_criminal_offenses,year
ANDALUCÍA,37296,274,55,19996,16314,712,27291,2806,24485,2690,1651,451,68,125,395,1575,210150,68916,36839,13902,11457,4786,5911,3871,559,871,4848,51085,35288,31827,217,86,10421,15532,4816,10181,535,5643,77,6732,4900,241,2767,314894,2021
ARAGÓN,4530,18,5,2235,2167,110,2785,308,2477,443,256,102,14,28,43,156,30192,8925,4365,961,1346,658,960,644,50,173,252,9175,7310,5347,29,6,1133,1401,407,966,28,673,7,696,665,0,248,41796,2021
ASTURIAS (PRINCIPADO DE),3208,9,1,1743,1393,63,1946,91,1855,266,135,67,8,19,37,91,18028,4705,1976,394,832,365,295,155,25,67,259,7061,6187,2931,11,1,789,1098,166,855,77,411,8,568,489,1,226,26340,2021
BALEARS (ILLES),7431,38,6,3101,4114,178,5619,682,4937,777,513,122,19,22,101,270,41567,16433,6119,2582,1921,725,896,571,79,118,1073,10035,7005,5010,74,4,1923,1988,389,1532,67,1008,7,1357,718,0,273,61015,2021
CANARIAS,12465,53,16,6534,5498,380,10102,910,9192,946,612,177,11,54,92,631,49285,17144,7639,2915,2428,956,1316,745,121,255,983,12702,8916,7413,48,15,2025,3096,531,2494,71,1208,33,1821,1082,1,562,81232,2021
CANTABRIA,2069,15,4,1244,708,102,1695,149,1546,130,78,30,1,5,16,38,14239,3820,2528,501,1167,437,194,99,25,38,140,4483,3243,2426,24,2,622,777,96,660,21,222,2,276,279,2,165,19894,2021
CASTILLA Y LEÓN,7252,38,13,4220,2786,208,6143,601,5542,527,300,120,19,22,66,174,52662,13785,6994,1528,2523,1172,625,330,69,146,466,18445,14457,10243,66,5,2033,2927,492,2325,110,1517,19,1240,962,3,582,74008,2021
CASTILLA - LA MANCHA,7346,78,10,4007,3109,152,5477,671,4806,563,359,102,20,21,61,328,45899,10970,8622,2010,3086,1236,882,508,84,172,521,14220,9797,8075,18,21,2570,3186,570,2514,102,1748,41,1355,935,3,531,67412,2021
CATALUÑA,19854,270,57,12456,6748,380,20540,1693,18847,3316,1766,1091,5,140,314,1022,322683,118746,57748,29150,16631,5174,20501,14773,959,1996,6168,67922,47314,38295,288,38,12977,10499,3874,6442,183,4097,106,3680,3785,13,761,390356,2021
COMUNITAT VALENCIANA,23240,152,35,11279,11402,407,15180,1847,13333,2173,1407,387,67,73,239,838,161695,57738,28638,9144,12853,2858,4578,2732,442,754,2491,36352,24428,25274,196,77,6351,8083,1983,5841,259,4535,89,4897,3522,29,1056,225337,2021
EXTREMADURA,3086,25,4,1849,1146,66,2602,311,2291,223,136,36,10,12,29,214,17870,4820,2773,511,962,461,224,121,33,49,152,5765,4594,3380,15,7,734,1240,324,861,55,714,14,696,335,9,263,27266,2021
GALICIA,7841,52,18,4606,2979,204,6840,606,6234,707,396,144,8,40,119,167,63769,15367,7873,2917,2593,1110,853,474,84,197,405,28236,19496,9089,29,4,1913,4459,458,3844,157,1491,11,1459,916,1,594,88255,2021
MADRID (COMUNIDAD DE),29383,131,37,12094,16618,540,17576,1284,16292,2420,1390,538,46,104,342,930,269675,108778,33408,17229,8243,3940,12153,8283,721,1277,6922,66395,46978,34336,93,47,7543,7463,2502,4759,202,6857,60,5006,5747,22,848,345987,2021
MURCIA (REGIÓN DE),6658,60,14,3484,3030,84,4415,354,4061,613,395,110,16,27,65,615,40153,11925,9127,2940,3793,1028,1375,809,112,236,666,9632,6754,5447,45,15,1921,1497,506,935,56,1336,28,1250,816,10,583,57974,2021
NAVARRA (COMUNIDAD FORAL DE),2470,23,2,1448,936,63,2060,150,1910,264,144,66,17,8,29,100,18724,5523,2358,510,824,399,298,200,16,43,122,6023,3673,3667,8,10,715,1370,147,1187,36,693,16,390,452,0,180,26719,2021
PAÍS VASCO,6457,62,11,4151,1836,408,7754,2427,5327,718,366,215,10,30,97,120,61679,22253,10684,30,4350,1761,1426,996,83,221,694,17352,15016,7359,11,4,1896,3021,525,2335,161,1461,16,1525,1490,2,538,84781,2021
RIOJA (LA),1166,8,3,658,482,18,775,91,684,102,69,14,3,3,13,20,5983,1789,844,178,397,92,116,68,7,25,59,1981,1794,931,1,0,262,440,75,320,45,174,4,223,177,0,51,9115,2021
CIUDAD AUTÓNOMA DE CEUTA,835,12,2,500,317,6,376,11,365,47,31,4,0,2,10,17,1800,434,189,106,31,25,195,148,4,9,103,452,402,344,1,0,82,399,205,186,8,108,0,99,183,2,50,3916,2021
CIUDAD AUTÓNOMA DE MELILLA,900,4,0,539,333,24,443,4,439,39,28,5,1,2,3,26,1984,576,251,138,55,14,201,145,2,14,35,448,348,406,1,1,65,398,230,157,11,50,3,84,133,3,53,4116,2021
ANDALUCÍA,33578,298,61,17412,15221,647,26108,2717,23391,2204,1228,370,74,149,383,1492,190744,57435,37257,13556,12127,5317,5187,3253,469,971,4821,47474,33036,28242,240,72,10016,14182,4679,9039,464,4071,68,6662,5807,230,2448,287594,2020
ARAGÓN,4083,39,4,1798,2158,88,2482,300,2182,306,165,63,10,13,55,151,25509,6747,3652,828,1139,725,769,541,36,125,190,8762,6970,4414,20,12,943,1138,323,787,28,590,14,686,807,1,257,36024,2020
ASTURIAS (PRINCIPADO DE),3038,14,5,1589,1381,54,1892,68,1824,215,116,46,2,12,39,78,16593,4148,1891,389,650,459,317,164,41,78,289,6533,5623,2625,6,1,783,924,180,688,56,305,2,560,540,1,176,24324,2020
BALEARS (ILLES),6407,37,7,2765,3474,131,5083,569,4514,520,305,84,28,17,86,194,42187,12478,5724,2257,1857,748,749,465,72,113,1021,15850,10879,4596,31,8,1730,2132,431,1637,64,671,16,1215,1047,1,277,59750,2020
